Our Sku,sanitaryfittings-sku,ferguson-sku
7RMP4-250200,7RMP-2.5X2-304,S7RMP25X2304
7RMP4-300100,7RMP-3X1-304,S7RMP3X1304
7RMP4-300150,7RMP-3X1.5-304,S7RMP3X15304
7RMP4-300200,7RMP-3X2-304,S7RMP3X2304
7RMP4-400100,7RMP-4X1-304,S7RMP4X1304
7RMP4-400150,7RMP-4X1.5-304,S7RMP4X15304
7RMP4-400200,7RMP-4X2-304,S7RMP4X2304
7RMP4-400250,7RMP-4X2.5-304,S7RMP4X25304
7RMP4-400300,7RMP-4X3-304,S7RMP4X3304
7RMP4-600200,7RMP-6X2-304,S7RMP6X2304
7RMP4-600300,7RMP-6X3-304,S7RMP6X3304
7RMP4-800300,7RMP-8X3-304,S7RMP8X3304
7RMP4-800400,7RMP-8X4-304,S7RMP8X4304
7RMP4-800600,7RMP-8X6-304,S7RMP8X6304
7RMP6-150100,7RMP-1.5X1-316,S7RMP15X1316
7RMP6-200100,7RMP-2X1-316,S7RMP2X1316
7RMP6-200150,7RMP-2X1.5-316,S7RMP2X15316
7RMP6-250150,7RMP-2.5X1.5-316,S7RMP25X15316
7RMP6-250200,7RMP-2.5X2-316,S7RMP25X2316
7RMP6-300100,7RMP-3X1-316,S7RMP3X1316
7RMP6-300150,7RMP-3X1.5-316,S7RMP3X15316
7RMP6-300200,7RMP-3X2-316,S7RMP3X2316
7RMP6-400100,7RMP-4X1-316,S7RMP4X1316
7RMP6-400150,7RMP-4X1.5-316,S7RMP4X15316
7RMP6-400200,7RMP-4X2-316,S7RMP4X2316
7RMP6-400250,7RMP-4X2.5-316,S7RMP4X25316
7RMP6-400300,7RMP-4X3-316,S7RMP4X3316
7RMP6-600200,7RMP-6X2-316,S7RMP6X2316
7RMP6-600300,7RMP-6X3-316,S7RMP6X3316
7RMP6-800300,7RMP-8X3-316,S7RMP8X3316
7RMP6-800400,7RMP-8X4-316,S7RMP8X4316
7RMP6-800600,7RMP-8X6-316,S7RMP8X6316
7WMM4-100,7WMM-1-304,S7WMM1304
7WMM4-150,7WMM-1.5-304-F,S7WMM15304F
7WMM4-200,7WMM-2-304,S7WMM2304
7WMM4-250,7WMM-2.5-304,S7WMM25304
7WMM4-300,7WMM-3-304,S7WMM3304
7WMM4-400,7WMM-4-304,S7WMM4304
7WMM6-100,7WMM-1-316,S7WMM1316
7WMM6-150,7WMM-1.5-316-F,S7WMM15316F
7WMM6-200,7WMM-2-316,S7WMM2316
7WMM6-250,7WMM-2.5-316,S7WMM25316
7WMM6-300,7WMM-3-316,S7WMM3316
7WMM6-400,7WMM-4-316,S7WMM4316
7WWM4-100,7WWM-1-304,S7WWM1304
7WWM4-150,7WWM-1.5-304,S7WWM15304
7WWM4-200,7WWM-2-304,S7WWM2304
7WWM4-250,7WWM-2.5-304,S7WWM25304
7WWM4-300,7WWM-3-304,S7WWM3304
7WWM4-400,7WWM-4-304,S7WWM4304
7WWM6-100,7WWM-1-316,S7WWM1316
7WWM6-150,7WWM-1.5-316,S7WWM15316
7WWM6-200,7WWM-2-316,S7WWM2316
7WWM6-250,7WWM-2.5-316,S7WWM25316
7WWM6-300,7WWM-3-316,S7WWM3316
7WWM6-400,7WWM-4-316,S7WWM4316
9MP6-100,9MP-1-316,S9MP1316
9MP6-150,9MP-1.5-316,S9MP15316
9MP6-200,9MP-2-316,S9MP2316
9MP6-250,9MP-2.5-316,S9MP25316
9MP6-300,9MP-3-316,S9MP3316
9MP6-400,9MP-4-316,S9MP4316
9W4P-100,9WWWW-1-7-304,S9WWWW17304
9W4P-150,9WWWW-1.5-7-304,S9WWWW157304
9W4P-200,9WWWW-2-7-304,S9WWWW27304
9W4P-250,9WWWW-2.5-7-304,S9WWWW257304
9W4P-300,9WWWW-3-7-304,S9WWWW37304
9W4P-400,9WWWW-4-7-304,S9WWWW47304
9W6P-100,9WWWW-1-7-316,S9WWWW17316
9W6P-150,9WWWW-1.5-7-316,S9WWWW157316
9W6P-200,9WWWW-2-7-316,S9WWWW27316
9W6P-250,9WWWW-2.5-7-316,S9WWWW257316
9W6P-300,9WWWW-3-7-316,S9WWWW37316
9W6P-400,9WWWW-4-7-316,S9WWWW47316
L2CM4-100,L2CM-1-304,SL2CM1304
L2CM4-150,L2CM-1.5-304,SL2CM15304
L2CM4-200,L2CM-2-304,SL2CM2304
L2CM4-250,L2CM-2.5-304,SL2CM25304
L2CM4-300,L2CM-3-304,SL2CM3304
L2CM4-400,L2CM-4-304,SL2CM4304
L2CM4-600,L2CM-6-304,SL2CM6304
L2CM6-050,L2CM-.50-316,SL2CM50316
L2CM6-075,L2CM-.75-316,SL2CM75316
L2KS4P-100,L2KS-1-7-304,SL2KS17304
L2KS4P-150,L2KS-1.5-7-304,SL2KS157304
L2KS4P-200,L2KS-2-7-304,SL2KS27304
L2KS4P-250,L2KS-2.5-7-304,SL2KS257304
L2KS4P-300,L2KS-3-7-304,SL2KS37304
L2KS4P-400,L2KS-4-7-304,SL2KS47304
L2KS4P-600,L2KS-6-7-304,SL2KS67304
L2KS6P-050,L2KS-.50-7-316,SL2KS507316
L2KS6P-075,L2KS-.75-7-316,SL2KS757316
L2KS6P-100,L2KS-1-7-316,SL2KS17316
L2KS6P-150,L2KS-1.5-7-316,SL2KS157316
L2KS6P-200,L2KS-2-7-316,SL2KS27316
L2KS6P-250,L2KS-2.5-7-316,SL2KS257316
L2KS6P-300,L2KS-3-7-316,SL2KS37316
L2KS6P-400,L2KS-4-7-316,SL2KS47316
L2KS6P-600,L2KS-6-7-316,SL2KS67316
,16AMP-1-304,S16AMP1304
,14WMP-.75-316,S14WMP75316
,14RMP-2-316,S14RMP2316
,14RMP-4-316,S14RMP4316
,14MPW-1-304,S14MPW1304
,14MPW-1.5-304,S14MPW15304
,19WB-1-316,S19WB1316
,14MPW-2-304,S14MPW2304
,19WB-.75-316,S19WB75316
,19WB-.50-316,S19WB50316
,16W-.75-316,S16W75316
,16W-.50-316,S16W50316
,2CMP-1-304,S2CMP1304
,2CMP-1.5-304,S2CMP15304
,14MPW-3-304,S14MPW3304
,2CMP-2-304,S2CMP2304
,14WI-3-316,S14WI3316
,L2CM-1.5-316,SL2CM15316
,19WB-1.5-316,S19WB15316
,13MHHM-2.5-316,S13MHHM25316
,21MP-.50-316,S21MP50316
,21MP-.50X.375-316,S21MP50X375316
,21MP-.75X.50-316,S21MP75X50316
,13MHHM-3-316,S13MHHM3316
,21MP-.75X.25-316,S21MP75X25316
,21MP-.50X.75-316,S21MP50X75316
,14WLI-2-304,S14WLI2304
,38SL-1-316,S38SL1316
,2CMP-2.5-304,S2CMP25304
,15WLI-2-304,S15WLI2304
,13MHHM-4-316,S13MHHM4316
,13MHHM-2-316,S13MHHM2316
,21MP-1.5X.75-304,S21MP15X75304
,22MP-.50X.25-316,S22MP50X25316
,2CMP-3-304,S2CMP3304
,38SL-.50-316,S38SL50316
,38SL-1.5-316,S38SL15316
,38SL-.75-316,S38SL75316
,21MP-2X1.5-304,S21MP2X15304
,21MP-1X.75-304,S21MP1X75304
,21MP-1.5X1-304,S21MP15X1304
,14MPW-4-304,S14MPW4304
,L2CM-2-316,SL2CM2316
,21MP-1X.50-304,S21MP1X50304
,L2CM-1-316,SL2CM1316
,L2CM-2.5-316,SL2CM25316
,38SL-2-316,S38SL2316
,2CMP-4-304,S2CMP4304
,22MP-1.5X1.25-316,S22MP15X125316
,14WLI-3-304,S14WLI3304
,15WLI-3-304,S15WLI3304
,21MP-1.5X2-WF-304,S21MP15X2WF304
,38SL-2.5-316,S38SL25316
,22MP-2X1.5-304,S22MP2X15304
,21MP-1.5X2-WF-316,S21MP15X2WF316
,38SL-3-316,S38SL3316
,14WLI-4-304,S14WLI4304
,15WLI-4-304,S15WLI4304
,13MHHM-6-316,S13MHHM6316
,L2CM-3-316,SL2CM3316
,19WB-4-316,S19WB4316
,22MP-.50X.375-316,S22MP50X375316
,38SL-4-316,S38SL4316
,22MP-1.5X1.25-304,S22MP15X125304
,38SL-6-316,S38SL6316
,7RMP-3X2.5-304,S7RMP3X25304
,21MP-.50X1-316,S21MP50X1316
,L2CM-4-316,SL2CM4316
,2CMP-6-304,S2CMP6304
,14WI-8-304,S14WI8304
,19MPX-6-304,S19MPX6304
,13H-1-316,S13H1316
,13H-1.5-316,S13H15316
,13H-2-316,S13H2316
,13H-2.5-316,S13H25316
,13H-3-316,S13H3316
,13H-4-316,S13H4316
,13MHHM-.50-RWN-304,S13MHHM50RWN304
,13MHHM-8-316,S13MHHM8316
,13MHHM-.50-316,S13MHHM50316
,13MHHM-1-316,S13MHHM1316
,14MPHT-.50-316,S14MPHT50316
,14MPHT-.75-316,S14MPHT75316
,14MPW-8-304,S14MPW8304
,14MPW-6-304,S14MPW6304
,14MPW-12X2.5-316,S14MPW12X25316
,14MPW-2.5-304,S14MPW25304
,14MPW-10-316,S14MPW10316
,14RMP-1-316,S14RMP1316
,14RMP-1.5-316,S14RMP15316
,14RMP-2.5-316,S14RMP25316
,14RMP-3-316,S14RMP3316
,14WI-8-316,S14WI8316
,14WLI-6-304,S14WLI6304
,14WLI-2.5-304,S14WLI25304
,14WLI-1.5-304,S14WLI15304
,14WLI-1-304,S14WLI1304
,14WLMP-5-304,S14WLMP5304
,14WLMP-5-316,S14WLMP5316
,14WMP-.50-316,S14WMP50316
,15WI-8-316,S15WI8316
,15WI-8-304,S15WI8304
,15WLI-6-304,S15WLI6304
,15WLI-1-304,S15WLI1304
,15WLI-1.5-304,S15WLI15304
,15WLI-2.5-304,S15WLI25304
,16AMP-.50-316,S16AMP50316
,16W-12-1-316,S16W121316
,16W-1-5-316,S16W15316
,19MPV-6-316,S19MPV6316
,19MPV-6-304,S19MPV6304
,19MPV-.50-316,S19MPV50316
,19WB-.25-316,S19WB25316
,19WB-2.5-316,S19WB25316
,19WX-.75-316,S19WX75316
,19WX-.50-316,S19WX50316
,19WX-4-316,S19WX4316
,19WX-4-304,S19WX4304
,19WX-3-304,S19WX3304
,19WX-2.5-304,S19WX25304
,19WX-2-316,S19WX2316
,19WX-2-304,S19WX2304
,19WX-1.5-304,S19WX15304
,19WX-1-304,S19WX1304
,21MP-4X2-316,S21MP4X2316
,21MP-3x1.5-316,S21MP3x15316
,21MP-2X.50-WF-316,S21MP2X50WF316
,21MP-2X2.5-NH-316,S21MP2X25NH316
,21MP-2X2.5-NH-304,S21MP2X25NH304
,21MP-2.5X2-304,S21MP25X2304
,21MP-2X1.25-304,S21MP2X125304
,21MP-.75X1.5-316,S21MP75X15316
,21MP-1.5X.125-316,S21MP15X125316
,21MP-1.5X.375-W-316,S21MP15X375W316
,21MP-1.5X2.5X3.281-316,S21MP15X25X3281316
,21MP-1X2-NH-316,S21MP1X2NH316
,21MP-2X1.25-316,S21MP2X125316
,21MP-.75X.125-316,S21MP75X125316
,21MP-.50X.125-316,S21MP50X125316
,21MP-1.5X1.25-304,S21MP15X125304
,21MP-1.5X.25-316,S21MP15X25316
,21MP-2X.25-WF-316,S21MP2X25WF316
,21MP-2.5X.25-316,S21MP25X25316
,21MP-1X.25-316,S21MP1X25316
,21MP-1.5X.50-304,S21MP15X50304
,21MP-2X.75-316,S21MP2X75316
,21MP-.75X1-316,S21MP75X1316
,21MP-.75X.375-316,S21MP75X375316
,AAV00530,SAAV00530
,21MP-.50x.25-316,S21MP50x25316
,21MP-1.5x.50-316,S21MP15x50316
,21MP-2X1-304,S21MP2X1304
,AAV01583-304,SAAV01583304
,22MP-3X4-304,S22MP3X4304
,22MP-2X1.25-316,S22MP2X125316
,22MP-2X1.25-304,S22MP2X125304
,22MP-2X.50-WF-316,S22MP2X50WF316
,22MP-3X2.5x3.5-316,S22MP3X25x35316
,22MP-1.5X.125-316,S22MP15X125316
,22MP-1.5X2-WF-304,S22MP15X2WF304
,22MP-1.5x3-316,S22MP15x3316
,22MP-1X1.5-WF-316,S22MP1X15WF316
,22MP-1.5X.375-316,S22MP15X375316
,22MP-3X1-316,S22MP3X1316
,22MP-1.5X.25-WF-316,S22MP15X25WF316
,22MP-.50X.125-316,S22MP50X125316
,22MP-.75X.125-316,S22MP75X125316
,22MP-3X1.5-316,S22MP3X15316
,22MP-2X.75-WF-316,S22MP2X75WF316
,22MP-1.5X2-WF-316,S22MP15X2WF316
,22MP-.75X.25-316,S22MP75X25316
,22MP-6-316,S22MP6316
,22MP-6-304,S22MP6304
,22MP-.50x.75-316,S22MP50x75316
,22MP-2.5X2-304,S22MP25X2304
,22MP-2.5X1.5-304,S22MP25X15304
,22MP-2.5X1-316,S22MP25X1316
,22MP-2.5X1-304,S22MP25X1304
,22MP-2X1-304,S22MP2X1304
,22MP-1.5X1-304,S22MP15X1304
,22MP-1.5X.75-304,S22MP15X75304
,22MP-1.5X.50-304,S22MP15X50304
,22MP-1X.75-304,S22MP1X75304
,22MP-1X.50-304,S22MP1X50304
,22MP-.75X1-316,S22MP75X1316
,22MP-.75X.375-316,S22MP75X375316
,22MP-.50X1-316,S22MP50X1316
,AAW01061-316,SAAW01061316
,AAW01581-304,SAAW01581304
,28AMP-.75-316,S28AMP75316
,28BMP-.75-316,S28BMP75316
,28BMP-.50-316,S28BMP50316
,28WA-.50-7-316,S28WA507316
,28WA-.75-7-316,S28WA757316
,2CMP-10-304,S2CMP10304
,2CMP-8-304,S2CMP8304
,31-14MP-10X3X13.875-316,S3114MP10X3X13875316
,31-14MP-10X6-316,S3114MP10X6316
,31-14MP-2.5X1-304,S3114MP25X1304
,31-14MP-2.5X1-316,S3114MP25X1316
,31-14MP-10X8-316,S3114MP10X8316
,31-14MP-12X8-316,S3114MP12X8316
,31-14MP-2X.75-316,S3114MP2X75316
,31-14MP-2X.50-316,S3114MP2X50316
,31-14MP-4X2.5-304,S3114MP4X25304
,32-14MP-2x.75-304,S3214MP2x75304
,32-14MP-2x.50-316,S3214MP2x50316
,32-14MP-4x2.5-304,S3214MP4x25304
,32-14MP-2x.75-316,S3214MP2x75316
,38SL-5-316,S38SL5316
,38SL-6-304,S38SL6304
,38SL-4-304,S38SL4304
,38SL-3-304,S38SL3304
,38SL-2.5-304,S38SL25304
,38SL-1.5-304,S38SL15304
,38SL-2-304,S38SL2304
,38SL-.75-304,S38SL75304
,38SL-1-304,S38SL1304
,38SL-.50-304,S38SL50304
,7MPS-3-304,S7MPS3304
,7MPS-8-304,S7MPS8304
,7MPS-6-304,S7MPS6304
,7MPS-4-304,S7MPS4304
,7MPS-2.5-304,S7MPS25304
,7MPS-2-304,S7MPS2304
,7MPS-1.5-304,S7MPS15304
,7MPS-1-304,S7MPS1304
,7MPS-.75-316,S7MPS75316
,7RMP-1X.50-316,S7RMP1X50316
,7RMP-2X.75-316,S7RMP2X75316
,7RMP-2X.50-316,S7RMP2X50316
,7RMP-6X4-316,S7RMP6X4316
,7RMP-6X4-304,S7RMP6X4304
,7RMP-3X2.5-316,S7RMP3X25316
,7RMP-1.5X.75-316,S7RMP15X75316
,7RMP-1.5X.50-316,S7RMP15X50316
,7RMP-1X.75-316,S7RMP1X75316
,7RMP-2.5X1-304,S7RMP25X1304
,9MP-.50-316,S9MP50316
,9MP-4-304,S9MP4304
,9MP-.75-316,S9MP75316
,9MP-3-304,S9MP3304
,9MP-2.5-304,S9MP25304
,9MP-2-304,S9MP2304
,9MP-1.5-304,S9MP15304
,9MP-1-304,S9MP1304
,9WWWW-.50-7-316,S9WWWW507316
,9WWWW-.50-7-316-1,S9WWWW5073161
,9WWWW-.75-7-316,S9WWWW757316
,L2CM-6-316,SL2CM6316
,BFVPC-6-316-EPDM,SBFVPC6316EPDM
,BFVPC-6-316-SILICONE-RED,SBFVPC6316SILICONERED
,BFVPC-6-316-VITON,SBFVPC6316VITON
,BFVPC-4-304-SILICONE-RED,SBFVPC4304SILICONERED
,BFVPC-3-304-SILICONE-RED,SBFVPC3304SILICONERED
,BFVPC-3-316-VITON,SBFVPC3316VITON
,BFVPC-2.5-304-SILICONE-RED,SBFVPC25304SILICONERED
,BFVPC-2-304-SILICONE-RED,SBFVPC2304SILICONERED
,BFVPC-1.5-304-SILICONE-RED,SBFVPC15304SILICONERED
,BFVPC-1-304-SILICONE-RED,SBFVPC1304SILICONERED
,BFVPC-4-304-VITON,SBFVPC4304VITON
,BFVPC-4-304-EPDM,SBFVPC4304EPDM
,BFVPC-3-304-VITON,SBFVPC3304VITON
,BFVPC-3-304-EPDM,SBFVPC3304EPDM
,BFVPC-2.5-304-VITON,SBFVPC25304VITON
,BFVPC-2.5-304-EPDM,SBFVPC25304EPDM
,BFVPC-2-304-VITON,SBFVPC2304VITON
,BFVPC-2-304-EPDM,SBFVPC2304EPDM
,BFVPC-1.5-304-VITON,SBFVPC15304VITON
,BFVPC-1.5-304-EPDM,SBFVPC15304EPDM
,BFVPC-1-304-VITON,SBFVPC1304VITON
,BFVPC-1-304-EPDM,SBFVPC1304EPDM
,BFVPC-4-316-VITON,SBFVPC4316VITON
,BFVPC-4-316-SILICONE-RED,SBFVPC4316SILICONERED
,BFVPC-3-316-SILICONE-RED,SBFVPC3316SILICONERED
,BFVPC-2.5-316-VITON,SBFVPC25316VITON
,BFVPC-2.5-316-SILICONE-RED,SBFVPC25316SILICONERED
,BFVPC-2-316-VITON,SBFVPC2316VITON
,BFVPC-2-316-SILICONE-RED,SBFVPC2316SILICONERED
,BFVPC-1.5-316-VITON,SBFVPC15316VITON
,BFVPC-1.5-316-SILICONE-RED,SBFVPC15316SILICONERED
,BFVPC-1-316-VITON,SBFVPC1316VITON
,BFVPC-1-316-SILICONE-RED,SBFVPC1316SILICONERED
,BFVPC-2-316-EPDM,SBFVPC2316EPDM
,BFVPC-1.5-316-EPDM,SBFVPC15316EPDM
,BFVPC-1-316-EPDM,SBFVPC1316EPDM
,BFVPC-4-316-EPDM,SBFVPC4316EPDM
,BFVPC-3-316-EPDM,SBFVPC3316EPDM
,BFVPC-2.5-316-EPDM,SBFVPC25316EPDM
